Borough,SubjectInjured,Outcome: Arrested,Outcome: Hospitalised,Outcome: Detained - Mental Health Act,Outcome: Other
Barking and Dagenham,91.71428571428571,2474.0,98.71428571428571,77.0,471.7142857142857
Barnet,103.28571428571429,2596.4285714285716,157.28571428571428,157.42857142857142,477.2857142857143
Bexley,83.28571428571429,1944.857142857143,129.0,112.42857142857143,335.2857142857143
Brent,152.85714285714286,3999.4285714285716,176.57142857142858,194.28571428571428,749.2857142857143
Bromley,119.28571428571429,2593.285714285714,142.0,136.28571428571428,433.85714285714283
Camden,135.0,3364.0,225.42857142857142,242.14285714285714,623.8571428571429
City of Westminster,257.2857142857143,6870.714285714285,436.14285714285717,347.57142857142856,1609.142857142857
Croydon,191.14285714285714,4696.571428571428,204.28571428571428,172.0,816.7142857142857
Ealing,124.85714285714286,3085.4285714285716,153.85714285714286,166.71428571428572,493.7142857142857
Enfield,110.0,2727.285714285714,149.0,204.28571428571428,387.85714285714283
Greenwich,129.42857142857142,2876.5714285714284,169.14285714285714,171.57142857142858,492.42857142857144
Hackney,173.0,4187.0,176.28571428571428,225.71428571428572,793.1428571428571
Hammersmith and Fulham,99.14285714285714,2550.714285714286,176.85714285714286,184.42857142857142,566.2857142857143
Haringey,122.28571428571429,3295.1428571428573,138.71428571428572,172.28571428571428,655.5714285714286
Harrow,61.285714285714285,1579.142857142857,77.85714285714286,93.85714285714286,233.57142857142858
Havering,119.14285714285714,2322.285714285714,175.0,140.57142857142858,575.4285714285714
Hillingdon,100.42857142857143,2477.0,149.42857142857142,183.57142857142858,386.42857142857144
Hounslow,102.57142857142857,2626.4285714285716,147.0,169.57142857142858,371.85714285714283
Islington,120.42857142857143,3183.0,169.42857142857142,175.71428571428572,556.1428571428571
Kensington and Chelsea,91.14285714285714,1850.7142857142858,165.28571428571428,143.14285714285714,365.57142857142856
Kingston upon Thames,60.142857142857146,1387.142857142857,114.71428571428571,118.57142857142857,366.57142857142856
Lambeth,218.14285714285714,4936.857142857143,238.28571428571428,204.0,953.4285714285714
Lewisham,188.71428571428572,3944.8571428571427,212.85714285714286,206.14285714285714,739.7142857142857
Merton,50.285714285714285,1197.4285714285713,69.71428571428571,65.0,150.28571428571428
Newham,157.57142857142858,4676.857142857143,180.85714285714286,191.42857142857142,712.5714285714286
Redbridge,77.14285714285714,2240.1428571428573,103.71428571428571,105.14285714285714,339.2857142857143
Richmond upon Thames,35.714285714285715,838.7142857142857,68.14285714285714,75.14285714285714,107.14285714285714
Southwark,189.28571428571428,4579.571428571428,234.71428571428572,211.85714285714286,779.4285714285714
Sutton,57.714285714285715,1332.0,113.0,71.0,217.14285714285714
Tower Hamlets,147.85714285714286,4088.714285714286,141.28571428571428,138.14285714285714,701.1428571428571
Waltham Forest,115.0,2515.0,125.0,123.42857142857143,469.57142857142856
Wandsworth,110.71428571428571,2399.1428571428573,170.42857142857142,163.57142857142858,630.0
